month,lead_organisation,organisation_type,donor,sector,education_level,indicator,activity,implementing_partner,county,sub_county,names_numbers_schools,start_date,end_date,activity_status,boys,girls,men,women,beneficiary_type,total_reached,comments,source,schools,adm1_pcode,indicator_short,sector_reached
May,UNICEF,United Nations,EAC,Education,Primary,indicator 3 # of learners and teachers reached with learning and  teaching materials,Supply and distribution ot teaching and learning materials,Finn Church Aid,Marsabit,"Marsabit central, Loyangalani, Sololo and Chalbi",NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,9431,10289,NA,NA,NA,19720,Supply of teaching and learning materials for OOSC enrolled back to school,5W_ Consolidated_Edu_May 2023 Report.xlsx,NA,KE010,3. Teaching materials,0
May,UNICEF,United Nations,EAC,Education,Primary,indicator 4 # of schools with adequate quantites of safe water for drinking and personal hygiene,Provision of handwashing stations to improve hygiene in schools,Finn Church Aid,Marsabit,"Marsabit central, Loyangalani, Sololo and Chalbi",NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,7311,6979,NA,NA,NA,14290,37 schools supported with 115 handwashing kits,5W_ Consolidated_Edu_May 2023 Report.xlsx,37,KE010,"4. Safe water, personal hygiene",0
May,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Lifeskills Promoters,Isiolo,"Cherab, Sericho",NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,41,37,NA,NA,NA,78,Enrolment of OOSC back to school,5W_ Consolidated_Edu_May 2023 Report.xlsx,NA,KE011,1. Access ECD spaces/schools,78
May,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Mobilization, Identification and enrollment of School Children back to School.",Lifeskills Promoters,Isiolo,Isiolo central,10,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,170,178,0,0,Vulnerable Residents,348,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,10,KE011,1. Access ECD spaces/schools,348
May,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Mobilization, Identification and enrollment of School Children back to School.",Lifeskills Promoters,Isiolo,Merti,21,2023-05-02T00:00:00Z,2023-05-01T00:00:00Z,Completed,51,30,0,0,Vulnerable Residents,81,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,21,KE011,1. Access ECD spaces/schools,81
May,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Mobilization, Identification and enrollment of School Children back to School.",Lifeskills Promoters,Isiolo,Garbatulla,22,2023-05-03T00:00:00Z,2023-05-01T00:00:00Z,Completed,96,129,0,0,Vulnerable Residents,225,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,22,KE011,1. Access ECD spaces/schools,225
May,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Mobilization, Identification and enrollment of School Children back to School.",Lifeskills Promoters,Isiolo,Oldo nyiro,"Kipsing, Raap, Tuale, Lengurama",2023-05-04T00:00:00Z,2023-05-01T00:00:00Z,Completed,56,45,0,0,Vulnerable Residents,101,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,4,KE011,1. Access ECD spaces/schools,101
May,Lifeskills Promoters,National NGO,UNICEF - Operation Come to School,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Mobilization, Identification and enrollment of School Children back to School.",Lifeskills Promoters,Turkana,Turkana Central,59,2023-05-06T00:00:00Z,2023-05-01T00:00:00Z,Completed,500,420,0,0,Vulnerable Residents,920,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,59,KE023,1. Access ECD spaces/schools,920
May,Lifeskills Promoters,National NGO,UNICEF - Operation Come to School,Education,Primary,indicator 3 # of learners and teachers reached with learning and  teaching materials,supplies distribution,Lifeskills Promoters,Turkana,Loima,41,2023-05-07T00:00:00Z,2023-05-01T00:00:00Z,Completed,921,795,0,0,Vulnerable Residents,1716,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,41,KE023,3. Teaching materials,0
May,Lifeskills Promoters,National NGO,UNICEF - Operation Come to School,Education,Primary,indicator 3 # of learners and teachers reached with learning and  teaching materials,supplies distribution,Lifeskills Promoters,Turkana,Turkana Central,59,2023-05-08T00:00:00Z,2023-05-01T00:00:00Z,Completed,1371,1441,0,0,Vulnerable Residents,2812,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,59,KE023,3. Teaching materials,0
May,Save the Children,International NGO,UNICEF OOSC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Conduct an OOSC enrolment campaign through child-to-child, door-to-door approaches and public gatherings (barazas)",Save the Children,Wajir,"Habasweine, Bute, Eldas, Sabuli, Buna, Korondile",NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,48,29,NA,NA,Vulnerable Residents,77,"Grassroot structures such as the enrollement committees(ECDS), and the national government representatives (chiefs), conducted enrollement drive campaignswhere 77 oosc were enrolled in diffeent schools with the six project target sub-counties.",5W_ Consolidated_Edu_May 2023 Report.xlsx,NA,KE008,1. Access ECD spaces/schools,77
May,Save the Children,International NGO,ECHO,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Mental Health and Psychosocial Support for Accelerated Education Learners and child protection & GBV support and referral for the vulnerable children,Norwegian Refugee Council,Garissa,Dadaab,ABE and AEP schools in Dadaab and Kakuma,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,215,246,NA,NA,Refugees,461,"Save the children implements alternative based education in Dadaab and supports child protection activities in Kakuma non-formal schools run by NRC. The numbers reported are those reached through PSS in the month of April, before start of examinations and school closure.",5W_ Consolidated_Edu_May 2023 Report.xlsx,3,KE007,6. Children resilience enhancing,461
May,Save the Children,International NGO,UNICEF OOSC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Conduct an OOSC enrolment campaign through child-to-child, door-to-door approaches and public gatherings (barazas)",Save the Children,Baringo,"Marigat, Tiaty West",NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,39,47,NA,NA,Vulnerable Residents,86,"During this reporting period, the project carried out enrolment drives in form of Community Barazas in Tiaty East and Marigat sub-counties reaching a total of 213 (123F:90M) community members. The barazas aimed at sensitizing the community on importance of education and eradication of harmful cultural practices that hinder children from enrolling and transitioning in school like child labour, FGM and Early marriages. Community members pledged to support government efforts in not only allowing children go to school but also provide them with required learning materials.",5W_ Consolidated_Edu_May 2023 Report.xlsx,NA,KE030,1. Access ECD spaces/schools,86
May,Save the Children,International NGO,UNICEF OOSC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Conduct an OOSC enrolment campaign through child-to-child, door-to-door approaches and public gatherings (barazas)",Save the Children,Turkana,"Turkana North, Kibish",NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,30,3,NA,NA,Vulnerable Residents,33,"Grassroot structures such as the enrollement committees(ECDS), and the national government representatives (chiefs), conducted enrollement drive campaigns where 33 oosc were enrolled in diffeent schools with the two project target sub-counties.",5W_ Consolidated_Edu_May 2023 Report.xlsx,NA,KE023,1. Access ECD spaces/schools,33
May,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Provide psychosocial support to OOS girls and boys affected by early marriage, early pregnancy, drugs, substance abuse, child labour, FGM/SRGBV",Save the Children,Baringo,"Marigat, Tiaty West",NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,184,167,NA,NA,Vulnerable Residents,351,"PSEAH sessions were conducted in 12 schools this reporting month ,the sessions which were facilitated by the CPVs saw 351 boys and girls sensitized on FGM children rights, child labour and early marriages.",5W_ Consolidated_Edu_May 2023 Report.xlsx,NA,KE030,6. Children resilience enhancing,351
May,Save the Children,International NGO,Sesame,Education,ECE,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Integration of digital education in ECE,Save the Children,Garissa,Dadaab,Badbadho ABE,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,136,220,NA,NA,Refugees,356,"A pilot project implemented by Save the Children on integration of digital education in ECD in one of the non-formal education centers, Badbadho ABE. These children were reached in the month of May through the digital education intervention",5W_ Consolidated_Edu_May 2023 Report.xlsx,1,KE007,1. Access ECD spaces/schools,356
May,Save the Children,International NGO,ECHO,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Basic Education for Non formal education centres,Norwegian Refugee Council,Garissa,Dadaab,Non formal schools in Dadaab,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,761,797,NA,NA,Refugees,1558,Save the children implements alternative based education in Dadaab and supported protection activities in Kakuma non-formal schools run by NRC in May 2023,5W_ Consolidated_Edu_May 2023 Report.xlsx,1,KE007,1. Access ECD spaces/schools,1558
May,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Save the Children,Wajir,NA,NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,210,116,NA,NA,NA,326,Enrolment of OOSC back to school,5W_ Consolidated_Edu_May 2023 Report.xlsx,NA,KE008,1. Access ECD spaces/schools,326
May,UNICEF,United Nations,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",MHPSS support for learners,Save the Children,Wajir,"Habasweine, Bute, Eldas, Sabuli, Buna, Korondile","Eldas pry, Dela pry, Elnur pry, Habasweine pry and Tosorie pry",2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,114,76,NA,NA,NA,190,Learners provided Mental Health and Psychosocial Service (MHPSS) and protection services,5W_ Consolidated_Edu_May 2023 Report.xlsx,5,KE008,6. Children resilience enhancing,190
May,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Women Educational Researchers of Kenya,Tana River,"Tana River, Tana North, Bangal",NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,225,332,NA,NA,NA,557,Enrolment of OOSC back to school,5W_ Consolidated_Edu_May 2023 Report.xlsx,NA,KE004,1. Access ECD spaces/schools,557
